name,itol,avg_rate,std_rate,jasoncomp
Fiber Piston (Z),0,nan,nan,0
Fiber Decenter (X),1,0,0,0
Fiber Decenter (Y),2,0.001819646,0.00033547,0.939179087
Fiber Clocking (TZ),5,nan,nan,0
COLL M1 Piston (Z),6,0.006835017,0.000369029,0.910692912
COLL M1 Decenter (X),7,0.016095679,0.001420089,0.928495611
COLL M1 Decenter (Y),8,0.008574074,0.001178802,0.940360989
COLL M1 Tilt (TX),9,0.000561568,6.54E-05,0.933216448
COLL M1 Tilt (TY),10,0.000996237,9.81E-05,0.911016662
COLL M1 Clocking (TZ),11,0.000145099,1.23E-05,0.912409048
COLL M2 Piston (Z),12,0.004051852,0.000575017,0.924779427
COLL M2 Decenter (X),13,0.000132719,9.51E-06,0.558033585
COLL M2 Decenter (Y),14,0.000745003,4.25E-05,0.955385928
COLL M2 Tilt (TX),15,1.77E-05,1.21E-06,0.884145692
COLL M2 Tilt (TY),16,4.04E-06,2.86E-07,0.561312373
COLL M2 Clocking (TZ),17,nan,nan,0
COLL M3 Piston (Z),18,0.001226226,0.000182391,0.912907267
COLL M3 Decenter (X),19,0.008501684,0.000881872,0.903445353
COLL M3 Decenter (Y),20,0.00362963,0.000351608,0.940384765
COLL M3 Tilt (TX),21,0.00045253,5.62E-05,0.92925539
COLL M3 Tilt (TY),22,0.000967711,0.000100629,0.913207926
COLL M3 Clocking (TZ),23,0.000287876,2.73E-05,0.908484806
ECHELLE Tilt (TX),24,0.000487948,5.56E-05,0.95547258
ECHELLE Tilt (TY),25,0.000271033,4.63E-05,0.970605055
ECHELLE Clocking (TZ),26,2.27E-05,2.77E-06,1.180147888
PRISM Tilt (TX),27,1.56E-06,3.62E-06,0.946061739
PRISM Tilt (TY),28,2.89E-05,2.01E-05,0.994602309
FOLD Tilt (TX),29,3.05E-05,3.93E-05,0.999641714
FOLD Tilt (TY),30,2.65E-05,2.51E-05,1.002621601
CAM M1 Piston (Z),31,0.001302638,7.39E-05,0.99808153
CAM M1 Decenter (X),32,8.67E-05,9.30E-05,1.000794783
CAM M1 Decenter (Y),33,0.000395712,0.000103992,0.99833773
CAM M1 Tilt (TX),34,9.83E-05,4.90E-05,1.000674106
CAM M1 Tilt (TY),35,1.05E-05,2.43E-05,1.003540781
CAM M1 Clocking (TZ),36,1.04E-05,1.09E-05,1.005997791
CAM M2 Piston (Z),37,0.001324308,5.84E-05,0.991799562
CAM M2 Decenter (X),38,0.000183161,9.35E-05,1.019734739
CAM M2 Decenter (Y),39,0.000407015,8.20E-05,0.993341027
CAM M2 Tilt (TX),40,5.01E-05,8.03E-06,0.997709302
CAM M2 Tilt (TY),41,1.27E-05,5.49E-06,0.996397982
CAM M2 Clocking (TZ),42,6.24E-06,3.62E-06,1.019789932
CAM M3 Piston (Z),43,0.000267118,5.96E-05,0.877232616
CAM M3 Decenter (X),44,2.43E-05,6.19E-05,0.994042191
CAM M3 Decenter (Y),45,7.84E-05,8.52E-05,1.000341966
CAM M3 Tilt (TX),46,6.34E-06,1.19E-05,0.994184522
CAM M3 Tilt (TY),47,1.46E-05,2.57E-05,0.992719733
CAM M3 Clocking (TZ),48,2.73E-06,3.34E-06,0.99530184
DETECTOR Piston (Z),49,0.000290841,2.48E-05,0.749569819
DETECTOR Decenter (X),50,9.61E-06,2.45E-05,0.999384465
DETECTOR Decenter (Y),51,2.71E-05,3.65E-05,0.998857063
DETECTOR Tilt (TX),52,4.65E-06,2.99E-06,0.67638352
DETECTOR Tilt (TY),53,6.21E-06,3.19E-06,0.475502126
DETECTOR Clocking (TZ),54,2.54E-05,3.31E-06,0.761043371
